Time_s,Time_ms,Voltage_Raw_V,Voltage_Filtered_V
0.000016375,0.016375,0.210800,0.209864
0.000016500,0.016500,0.210800,0.210341
0.000016625,0.016625,0.211400,0.210737
0.000016750,0.016750,0.211800,0.211068
0.000016875,0.016875,0.212200,0.211305
0.000017000,0.017000,0.212200,0.211463
0.000017125,0.017125,0.212400,0.211529
0.000017250,0.017250,0.212000,0.211518
0.000017375,0.017375,0.212000,0.211431
0.000017500,0.017500,0.211600,0.211272
0.000017625,0.017625,0.211600,0.211051
0.000017750,0.017750,0.210800,0.210746
0.000017875,0.017875,0.211000,0.210373
0.000018000,0.018000,0.210200,0.209929
0.000018125,0.018125,0.209400,0.209414
0.000018250,0.018250,0.209000,0.208874
0.000018375,0.018375,0.208600,0.208260
0.000018500,0.018500,0.207800,0.207616
0.000018625,0.018625,0.207000,0.206936
0.000018750,0.018750,0.206200,0.206223
0.000018875,0.018875,0.205400,0.205468
0.000019000,0.019000,0.204600,0.204690
0.000019125,0.019125,0.204000,0.203880
0.000019250,0.019250,0.203200,0.203069
0.000019375,0.019375,0.202000,0.202257
0.000019500,0.019500,0.201200,0.201429
0.000019625,0.019625,0.200600,0.200606
0.000019750,0.019750,0.199600,0.199767
0.000019875,0.019875,0.198800,0.198949
0.000020000,0.020000,0.198000,0.198154
0.000020125,0.020125,0.197000,0.197372
0.000020250,0.020250,0.196400,0.196613
0.000020375,0.020375,0.195600,0.195883
0.000020500,0.020500,0.194800,0.195177
0.000020625,0.020625,0.194200,0.194500
0.000020750,0.020750,0.193200,0.193854
0.000020875,0.020875,0.192600,0.193249
0.000021000,0.021000,0.192000,0.192669
0.000021125,0.021125,0.192200,0.192147
0.000021250,0.021250,0.191200,0.191676
0.000021375,0.021375,0.190800,0.191240
0.000021500,0.021500,0.190600,0.190853
0.000021625,0.021625,0.190400,0.190519
0.000021750,0.021750,0.189600,0.190241
0.000021875,0.021875,0.189600,0.190006
0.000022000,0.022000,0.189600,0.189812
0.000022125,0.022125,0.189200,0.189669
0.000022250,0.022250,0.189200,0.189568
0.000022375,0.022375,0.189200,0.189532
0.000022500,0.022500,0.189000,0.189548
0.000022625,0.022625,0.189400,0.189601
0.000022750,0.022750,0.189400,0.189691
0.000022875,0.022875,0.189800,0.189839
0.000023000,0.023000,0.189800,0.190025
0.000023125,0.023125,0.189800,0.190256
0.000023250,0.023250,0.190400,0.190519
0.000023375,0.023375,0.190600,0.190816
0.000023500,0.023500,0.191000,0.191158
0.000023625,0.023625,0.191200,0.191525
0.000023750,0.023750,0.191800,0.191917
0.000023875,0.023875,0.192200,0.192336
0.000024000,0.024000,0.192800,0.192760
0.000024125,0.024125,0.193400,0.193200
0.000024250,0.024250,0.194000,0.193663
0.000024375,0.024375,0.194000,0.194168
